,,Lo:LFHD,,,Lo:RFHD,,,Lo:LBHD,,,Lo:RBHD,,,Lo:C7,,,Lo:T10,,,Lo:CLAV,,,Lo:STRN,,,Lo:RBAK,,,Lo:LSHO,,,Lo:LUPA,,,Lo:LELB,,,Lo:LFRM,,,Lo:LWRA,,,Lo:LWRB,,,Lo:LFIN,,,Lo:RSHO,,,Lo:RUPA,,,Lo:RELB,,,Lo:RFRM,,,Lo:RWRA,,,Lo:RWRB,,,Lo:RFIN,,,Lo:LASI,,,Lo:RASI,,,Lo:LPSI,,,Lo:RPSI,,,Lo:LTHI,,,Lo:LKNE,,,Lo:LTIB,,,Lo:LANK,,,Lo:LHEE,,,Lo:LTOE,,,Lo:RTHI,,,Lo:RKNE,,,Lo:RTIB,,,Lo:RANK,,,Lo:RHEE,,,Lo:RTOE,,,Lo:R_Thumb,,,Lo:R_MidFinger,,,Lo:L_Thumb,,,Lo:L_MidFinger,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
10,0,49.3044,461.566,1789.48,-57.6512,485.299,1776.08,81.1094,630.392,1743.6,-4.63847,661.192,1734.05,7.21345,510.264,1485.32,-8.21276,490.134,1313.63,5.81811,637.931,1549.87,-1.66568,689.609,1302.11,-81.3537,698.624,1376.27,152.228,609.27,1525.51,279.202,576.159,1428.98,392.97,457.981,1388.36,,,,292.563,209.829,1400.51,362.216,199.893,1401.78,323.933,141.546,1430.17,-148.12,592.713,1544.86,-342.012,553.845,1395.47,-416.228,502.482,1364.66,,,,-358.125,257.573,1401.65,-425.229,254.218,1391.93,-400.954,199.478,1429.95,119.865,470.414,1025.94,-120.834,473.5,1037.11,82.0596,656.755,1050.49,-91.2743,662.468,1053.82,144.332,533.01,604.25,134.058,600.681,496.611,134.706,581.321,327.245,111.731,598.9,105.428,61.867,649.288,73.7896,104.622,463.423,68.0756,-195.771,555.611,742.314,-180.846,580.807,528.444,-202.929,573.693,387.802,-189.406,584.189,114.353,-143.638,631.265,78.387,-179.77,449.833,73.4974,-321.338,146.676,1403.03,-394.483,93.7393,1423.14,260.653,94.0156,1372.21,309.517,39.6126,1417.47
11,0,49.2912,461.491,1789.44,-57.6711,485.215,1776.07,81.0958,630.274,1743.58,-4.64171,661.186,1734.11,7.16882,510.24,1485.33,-8.266,490.129,1313.62,5.79458,637.886,1549.84,-1.72201,689.562,1302.12,-81.3903,698.593,1376.28,152.204,609.232,1525.51,279.17,576.134,1428.94,392.942,457.973,1388.32,,,,292.557,209.841,1400.44,362.229,199.896,1401.72,323.94,141.541,1430.1,-148.163,592.707,1544.87,-342.039,553.852,1395.44,-416.252,502.49,1364.63,,,,-358.132,257.614,1401.65,-425.27,254.251,1391.88,-400.978,199.489,1429.9,119.822,470.44,1025.95,-120.911,473.503,1037.14,81.992,656.734,1050.47,-91.3861,662.464,1053.82,144.309,532.971,604.259,134.023,600.695,496.613,134.702,581.315,327.316,111.721,598.907,105.449,61.8395,649.294,73.7953,104.615,463.411,68.032,-195.807,555.571,742.28,-180.907,580.817,528.474,-202.772,573.143,387.903,-189.413,584.215,114.371,-143.648,631.247,78.3443,-179.79,449.793,73.4695,-321.361,146.716,1403,-394.491,93.7522,1423.08,261.069,93.918,1371.98,309.526,39.5669,1417.39
12,0,49.2934,461.425,1789.38,-57.6617,485.085,1776.03,81.0609,630.144,1743.6,-4.6686,661.096,1734.12,7.10245,510.276,1485.24,-8.32784,490.098,1313.57,5.75706,637.858,1549.86,-1.76582,689.587,1302.15,-81.5098,698.32,1376.09,152.183,609.189,1525.48,279.168,576.112,1428.93,392.908,457.966,1388.26,,,,292.533,209.799,1400.35,362.231,199.883,1401.61,323.929,141.511,1429.97,-148.202,592.669,1544.87,-342.065,553.823,1395.43,-416.267,502.461,1364.57,,,,-358.135,257.597,1401.58,-425.279,254.206,1391.79,-400.984,199.468,1429.8,119.803,470.472,1025.9,-120.945,473.468,1037.12,81.9452,656.741,1050.47,-91.4297,662.452,1053.82,144.281,532.904,604.191,133.988,600.64,496.593,134.691,581.333,327.219,111.756,598.863,105.418,61.8534,649.309,73.8121,104.635,463.431,68.0279,-195.861,555.583,742.281,-180.953,580.776,528.438,-202.999,573.711,387.848,-189.421,584.178,114.333,-143.639,631.236,78.3372,-179.786,449.823,73.4294,-321.341,146.691,1402.9,-394.488,93.7383,1422.93,260.644,93.998,1371.96,309.549,39.537,1417.27
13,0,49.2777,461.281,1789.38,-57.6713,484.954,1776.02,81.0395,630.054,1743.62,-4.67378,661.011,1734.15,7.0648,510.22,1485.25,-8.37716,490.037,1313.6,5.7279,637.794,1549.87,-1.82296,689.562,1302.15,-81.4399,697.596,1375.84,152.151,609.119,1525.49,279.09,576.078,1428.9,392.873,457.922,1388.22,,,,292.531,209.765,1400.31,362.213,199.848,1401.56,323.928,141.458,1429.91,-148.234,592.602,1544.9,-342.074,553.786,1395.44,-416.293,502.424,1364.55,,,,-358.155,257.552,1401.51,-425.252,254.148,1391.72,-400.984,199.407,1429.73,119.768,470.435,1025.96,-120.955,473.406,1037.13,81.8693,656.74,1050.48,-91.5046,662.408,1053.81,144.291,532.883,604.228,133.932,600.589,496.604,134.672,581.266,327.269,111.725,598.871,105.454,61.818,649.28,73.8225,104.633,463.408,68.0592,-195.884,555.496,742.276,-180.993,580.717,528.448,-203.033,573.689,387.804,-189.423,584.159,114.333,-143.655,631.212,78.361,-179.8,449.781,73.4211,-321.331,146.675,1402.82,-394.447,93.6851,1422.85,261.064,93.8386,1371.78,309.585,39.502,1417.2
14,0,49.254,461.164,1789.36,-57.6955,484.828,1776.03,81.038,629.932,1743.64,-4.67677,660.914,1734.19,7.05126,510.106,1485.34,-8.42357,490.004,1313.6,5.70405,637.737,1549.88,-1.87083,689.5,1302.13,-81.5738,696.935,1375.39,152.125,609.078,1525.47,279.044,576.044,1428.85,392.814,457.894,1388.14,,,,292.534,209.745,1400.24,362.204,199.804,1401.46,323.964,141.404,1429.82,-148.279,592.561,1544.89,-342.101,553.76,1395.43,-416.32,502.416,1364.54,,,,-358.167,257.518,1401.44,-425.251,254.151,1391.64,-400.992,199.366,1429.65,119.719,470.439,1025.95,-121.02,473.391,1037.16,81.8053,656.73,1050.47,-91.5748,662.388,1053.8,144.163,532.856,604.202,133.908,600.581,496.609,134.666,581.289,327.277,111.733,598.84,105.45,61.8337,649.3,73.8392,104.625,463.395,68.0314,-195.887,555.433,742.29,-181.049,580.721,528.456,-203.012,573.663,387.81,-189.419,584.159,114.329,-143.621,631.187,78.3442,-179.779,449.62,73.5435,-321.246,146.637,1402.81,-394.45,93.6713,1422.74,260.686,93.8861,1371.75,309.588,39.4747,1417.09
15,0,49.2725,461.152,1789.27,-57.7379,484.792,1775.99,81.0191,629.819,1743.6,-4.69538,660.886,1734.15,6.96614,510.152,1485.18,-8.49976,489.996,1313.53,5.65786,637.67,1549.85,-1.91323,689.484,1302.16,-81.6697,697.152,1375.51,152.085,609.028,1525.43,279.026,575.997,1428.79,392.784,457.881,1388.06,,,,292.484,209.679,1400.12,362.205,199.781,1401.34,323.961,141.342,1429.68,-148.326,592.506,1544.87,-342.142,553.724,1395.39,-416.338,502.373,1364.45,,,,-358.129,257.49,1401.36,-425.28,254.121,1391.51,-400.987,199.327,1429.52,119.674,470.422,1025.91,-121.088,473.343,1037.16,81.7445,656.673,1050.43,-91.6292,662.353,1053.8,144.225,532.824,604.259,133.904,600.532,496.605,134.646,581.258,327.251,111.735,598.846,105.423,61.857,649.286,73.8134,104.606,463.405,67.9897,-195.891,555.335,742.225,-181.115,580.678,528.455,-203.087,573.65,387.831,-189.449,584.153,114.288,-143.645,631.187,78.3472,-179.862,449.734,73.3942,-321.288,146.589,1402.62,-394.432,93.6274,1422.58,260.682,93.7799,1371.6,309.654,39.4492,1416.96
16,0,49.3101,461.058,1789.27,-57.7222,484.655,1776.01,81.0275,629.706,1743.61,-4.69615,660.79,1734.2,6.95806,510.053,1485.22,-8.50094,489.944,1313.56,5.61665,637.606,1549.86,-1.96313,689.467,1302.19,-81.5841,696.837,1375.54,152.072,608.975,1525.45,278.962,575.968,1428.76,392.738,457.82,1388,,,,292.493,209.631,1400.04,362.186,199.725,1401.25,323.957,141.275,1429.6,-148.357,592.429,1544.87,-342.148,553.668,1395.38,-416.342,502.32,1364.41,,,,-358.119,257.432,1401.28,-425.239,254.062,1391.42,-400.965,199.257,1429.42,119.631,470.361,1025.96,-121.122,473.296,1037.16,81.6914,656.655,1050.46,-91.6965,662.323,1053.8,144.203,532.763,604.286,133.874,600.502,496.631,134.648,581.231,327.276,111.735,598.833,105.442,61.8297,649.269,73.8295,104.635,463.4,68.0358,-195.875,555.28,742.282,-181.119,580.631,528.47,-203.113,573.679,387.874,-189.447,584.159,114.311,-143.639,631.184,78.3576,-179.866,449.714,73.4112,-321.261,146.553,1402.55,-394.384,93.5485,1422.47,260.695,93.7059,1371.5,309.666,39.3777,1416.86
17,0,49.3367,460.949,1789.28,-57.7003,484.557,1776.07,81.0274,629.584,1743.6,-4.68232,660.671,1734.22,6.98415,509.955,1485.3,-8.52716,489.893,1313.58,5.5806,637.533,1549.88,-2.01478,689.448,1302.2,-81.6349,697.41,1375.84,152.037,608.907,1525.43,278.914,575.925,1428.71,392.696,457.786,1387.94,,,,292.456,209.584,1399.98,362.142,199.661,1401.16,323.92,141.228,1429.5,-148.377,592.38,1544.87,-342.136,553.602,1395.35,-416.344,502.276,1364.39,,,,-358.112,257.397,1401.18,-425.216,254.019,1391.31,-400.954,199.21,1429.33,119.573,470.303,1026,-121.197,473.24,1037.21,81.6198,656.619,1050.47,-91.7512,662.294,1053.81,144.05,532.779,604.252,133.869,600.462,496.644,134.646,581.219,327.318,111.701,598.845,105.457,61.8367,649.273,73.8412,104.623,463.403,68.0474,-195.958,555.302,742.381,-181.142,580.595,528.49,-203.134,573.659,387.865,-189.427,584.144,114.328,-143.614,631.178,78.3799,-179.874,449.679,73.4059,-321.204,146.489,1402.53,-394.36,93.4838,1422.37,260.678,93.6824,1371.4,309.663,39.3015,1416.76
18,0,49.3662,460.864,1789.19,-57.7101,484.485,1776.03,81.0417,629.492,1743.56,-4.70503,660.631,1734.2,6.8886,510.004,1485.11,-8.56671,489.898,1313.5,5.5616,637.474,1549.83,-2.04688,689.384,1302.17,-81.6667,696.657,1375.44,152.019,608.85,1525.4,278.912,575.848,1428.65,392.661,457.72,1387.85,,,,292.385,209.484,1399.85,362.119,199.601,1401.02,323.87,141.147,1429.34,-148.424,592.3,1544.84,-342.183,553.549,1395.29,-416.367,502.218,1364.29,,,,-358.081,257.345,1401.07,-425.235,253.952,1391.18,-400.939,199.116,1429.16,119.539,470.266,1025.95,-121.288,473.21,1037.16,81.5871,656.546,1050.45,-91.8065,662.264,1053.79,144.042,532.713,604.204,133.832,600.438,496.635,134.603,581.212,327.249,111.736,598.834,105.449,61.8157,649.291,73.7974,104.622,463.409,67.9789,-195.967,555.113,742.243,-181.214,580.565,528.462,-203.233,573.638,387.836,-189.446,584.15,114.291,-143.632,631.154,78.3271,-179.908,449.673,73.2935,-321.177,146.476,1402.33,-394.318,93.4227,1422.16,260.637,93.5863,1371.24,309.612,39.232,1416.59
19,0,49.4135,460.772,1789.17,-57.673,484.332,1776,81.062,629.398,1743.58,-4.68667,660.538,1734.24,6.88532,509.928,1485.13,-8.56316,489.783,1313.52,5.54879,637.404,1549.84,-2.08663,689.336,1302.16,-81.6243,696.734,1375.6,152.005,608.777,1525.4,278.859,575.791,1428.61,392.612,457.653,1387.81,,,,292.354,209.405,1399.75,362.065,199.517,1400.95,323.821,141.05,1429.26,-148.45,592.216,1544.82,-342.191,553.497,1395.25,-416.348,502.143,1364.25,,,,-358.071,257.274,1400.96,-425.183,253.854,1391.07,-400.87,198.999,1429.02,119.493,470.216,1025.95,-121.309,473.099,1037.16,81.5471,656.506,1050.47,-91.8473,662.222,1053.81,144.046,532.643,604.242,133.809,600.407,496.648,134.583,581.193,327.263,111.711,598.821,105.42,61.8103,649.302,73.8643,104.646,463.39,67.9973,-195.969,555.05,742.241,-181.193,580.523,528.471,-203.204,573.653,387.875,-189.409,584.122,114.302,-143.618,631.154,78.358,-179.92,449.659,73.3234,-321.114,146.369,1402.18,-394.194,93.3828,1421.97,260.608,93.534,1371.13,309.554,39.1734,1416.46
